Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
İlkay Gündoğan,deGER,MF,32,36,33,"2,994",33.3,5,9,14,4,1,2,5,0,7.3,5.7,10.3,16.0,71,224,116,0.15,0.27,0.42,0.12,0.39,0.22,0.31,0.53,0.17,0.48,Matches
Jules Koundé,frFRA,DF,24,35,32,"2,899",32.2,1,2,3,1,0,0,4,0,2.0,2.0,2.2,4.2,67,245,64,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Matches
Robert Lewandowski,plPOL,FW,34,35,32,"2,750",30.6,19,8,27,15,4,4,5,0,18.1,15.0,4.9,19.9,43,64,168,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65,Matches
João Cancelo,ptPOR,DF,29,32,29,"2,503",27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106,141,193,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28,Matches
Marc-André ter Stegen,deGER,GK,31,28,28,"2,520",28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Christensen,dkDEN,"DF,MF",27,30,27,"1,979",22.0,2,2,4,2,0,0,4,0,1.0,1.0,1.1,2.2,24,117,6,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.10,0.05,0.10,Matches
Lamine Yamal,esESP,FW,16,37,22,"2,201",24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.20,0.20,0.41,0.20,0.41,0.21,0.25,0.47,0.21,0.47,Matches
Ronald Araújo,uyURU,DF,24,25,21,"1,997",22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,Matches
Frenkie de Jong,nlNED,MF,26,20,20,"1,634",18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0.00,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Matches
Pau Cubarsí,esESP,DF,16,19,18,"1,558",17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8,75,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
João Félix,ptPOR,FW,23,30,18,"1,540",17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,Matches
Raphinha,brBRA,"FW,MF",26,28,17,"1,368",15.2,6,9,15,5,1,1,4,1,7.4,6.6,5.7,12.3,49,57,164,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81,Matches
Pedri,esESP,"MF,FW",20,24,16,"1,476",16.4,4,2,6,4,0,0,3,0,3.1,3.1,4.2,7.3,41,136,81,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44,Matches
Alejandro Balde,esESP,DF,19,18,15,"1,378",15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0.00,0.07,0.07,0.00,0.07,0.01,0.08,0.09,0.01,0.09,Matches
Fermin López,esESP,"MF,FW",20,31,14,"1,446",16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,0.50,0.00,0.50,0.50,0.50,0.47,0.07,0.54,0.47,0.54,Matches
Iñigo Martínez,esESP,DF,32,20,13,"1,296",14.4,0,0,0,0,0,0,5,0,0.4,0.4,0.0,0.4,33,97,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Ferrán Torres,esESP,FW,23,29,12,"1,211",13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.20,0.61,0.41,0.61,Matches
Oriol Romeu,esESP,MF,31,28,11,936,10.4,0,1,1,0,0,0,4,0,0.7,0.7,1.3,2.0,12,66,4,0.00,0.10,0.10,0.00,0.10,0.07,0.12,0.19,0.07,0.19,Matches
Gavi,esESP,"MF,FW",18,12,10,944,10.5,1,1,2,1,0,0,5,0,0.9,0.9,1.1,2.0,26,39,38,0.10,0.10,0.19,0.10,0.19,0.09,0.10,0.19,0.09,0.19,Matches
Iñaki Peña,esESP,GK,24,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sergi Roberto,esESP,"MF,DF",31,14,10,860,9.6,3,2,5,3,0,0,4,0,1.7,1.7,0.8,2.4,13,50,33,0.31,0.21,0.52,0.31,0.52,0.18,0.08,0.26,0.18,0.26,Matches
Héctor Fort,esESP,DF,16,7,4,318,3.5,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,3,7,38,0.00,0.57,0.57,0.00,0.57,0.00,0.23,0.23,0.00,0.23,Matches
Marcos Alonso,esESP,DF,32,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21,Matches
Vitor Roque,brBRA,FW,18,14,2,328,3.6,2,0,2,2,0,0,4,1,2.5,2.5,0.0,2.6,12,2,26,0.55,0.00,0.55,0.55,0.55,0.70,0.01,0.71,0.70,0.71,Matches
Marc Guiu,esESP,"FW,MF",17,3,1,74,0.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.0,1,1,8,1.22,0.00,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,Matches
Abde Ezzalzouli,maMAR,"FW,MF",21,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.37,0.28,0.37,Matches
Eric García,esESP,DF,22,2,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ansu Fati,esESP,"MF,FW",20,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,4,5,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34,Matches
Marc Casado,esESP,MF,19,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ander Astralaga,esESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aleix Garrido,esESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Unai Hernandez,esESP,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Kochen,usUSA,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mikayil Ngor Faye,snSEN,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pau Prim,esESP,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pau Victor,esESP,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Áron Yaakobishvili,huHUN,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.0,38,418,"3,420",38.0,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,1911,2.00,1.45,3.45,1.84,3.29,2.04,1.51,3.55,1.90,3.41,
Opponent Total,,,26.9,38,418,"3,420",38.0,44,35,79,42,2,2,98,8,41.6,40.1,30.9,71.0,487,992,982,1.16,0.92,2.08,1.11,2.03,1.10,0.81,1.91,1.05,1.87,
